x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059
10,0,0,0,1.9296739,0,0,2.755034,0,0.2406416,0,0.6182299,0,0,0,0.90466017,0.81376743,0.17847405,0.30973023,0,0,0.16203195,1.1499662,1.3110836,2.0662866,0,2.0178452,0,0,0.93954897,0,3.0048442,0.7067352,0,0,5.9005885,0,0,0,0,0,0,1.6525704,0,0,0,0,0,0,0.73689866,0,0,0,0,0,0,2.8266468,0,0,1.1553235,1.4323193
11,0.09642049,0,0.18408401,0,0,0,0,0,0.4889062,0,0,0,0,1.9448044,0,0,2.2114153,0,0,0.17662469,0.48912513,0,0.15874241,0,0,2.3617291,0,0,0,3.6017144,0,0,0,0,0,0,1.1027788,0.068546735,0,0,0,0.9294467,1.8912504,0,0,0,0,0,0.046510648,0,0,0,2.2744732,0,0.16579102,0.037866086,0,0.77478045,0.07016924,1.1541532
12,0,0,0,0,1.4358252,0.3104349,0,0,0,0,0,0,0,1.1103072,0,0,0,0.74121445,1.3057951,0,0.6969743,0,0,0.9507273,0,0.49913222,0,0,0,0,0,0,9.187283,1.0979526,1.1121281,1.3696313,0.035356946,0.06849754,0,0.4119331,1.6635734,1.0541855,0,0,2.0710938,0.06413823,0,1.8942732,0.9805716,0,0,0,0,1.2429898,0,0.8284625,0,0,0,0.4036737
13,0.07798377,0,0,2.0268264,0,2.0731556,0.45361573,0,1.0013698,0,0.84096533,0,1.0798606,0,0,0,1.3747771,0,0.43463075,0,0,0.4107447,0,0,0,4.1355066,0,0,0,0,0,0,1.2875514,1.7741058,0,0,0,0,1.240676,0,1.0000461,0,0,0,1.2768358,0,0.73918575,0,0.00805603,0,0,0,0,0,0.43325517,0,0,1.8796909,0,0
14,2.0260713,1.5309286,0,0,0,0,0,0,0,0,0,0,0.2997,0.4232544,0,0.6109069,0,0,0,0,0,1.8924888,0,2.1436977,0,0,0,0,1.1939946,0,0,0,0,0.46858642,0,0,0,0.18793245,0.7183168,0,0.31479615,0,3.6157417,2.3213015,0,0,0,1.6190817,0.56808215,0,4.6759505,0,0.6082601,0,0,0,0.31666747,0,0,0.17282823
15,0.060926054,0.64220303,0.63653445,0,2.4751077,0,0,3.4604177,2.3324263,0.85040617,0,2.942844,0,0,0,0,0,0,0,1.9654402,0,0,0,0.30413297,2.0722935,0,2.5070167,0,0,0.3266298,0.9462846,0.5021937,0,0.38914528,0,0,0.07036586,0,3.158689,0,0,0,0,1.1650987,0.94412386,0,1.1813276,1.7763827,0,1.0602962,0.08914187,7.021269,0,0.49212006,0.30408698,0,0.98024446,0,4.1287208,0
16,0.38017765,0,0,7.724512,0,0,0,3.8786156,0,0,0,0.08101789,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7182257,0,0.013003586,0,0.71110445,0,1.7085258,0,0.37861955,0,0.78379416,1.4319912,1.5447942,0.47618067,0,1.7214285,0,0,0,0,0,0,0.74791217,0,0.3541346,4.0477715,4.1709127,0,1.3153623,0.96064806,0,0,0.63626254,0,0
17,0.90931785,0,0,0,1.5373806,0,0,0,0,0,0.49659812,2.9069068,0.36449978,0,0.52160454,0,0,1.40494,0,1.577015,0,0.6330938,0,0,0.7538024,0,7.6648765,2.0311584,0.062115345,1.4538572,0,0.058229655,0,0,0,0.09227083,4.323056,0,0,0.34604725,0,2.0717444,0,0.13630275,0,0,0.41269606,0,0,0,0,0.6725109,0,1.2565025,0,3.5869567,0,1.1857326,0.3769645,0
18,0.52655756,0.7396996,0,1.51109,0,0,0,0.028797397,0.94862556,0,0,0,0,0,2.9965806,0,0,0,2.6397214,0,0.44999778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8082495,0.19288173,0,0.13444965,0.061358713,0.43466526,0,0,0,0,1.3329059,0,0,0,0,0,0,0,0,0,0,0,0
19,0.04583662,0,0,0,0,0,0.65744454,0,0,0.73046744,0,0.34525004,0.9151159,0.67284536,0,0,0,0,0,0,0,4.182056,0,0,0,0,0,0.77942574,0.90822184,0,0.063325234,0,0,0,0,0,0,0,0,0,0.31543097,0.9509673,0,0,0,0,0,0,0.006154178,1.977717,0,0,0,0,0,0,0.5016217,0,0,0
20,0,0,2.517814,0,0,0,3.1333299,0,0,0,1.8780862,0.031991445,0,0,3.0168195,0.30412227,1.8273854,0,0.1701583,0,0,0,0.848043,0.15436275,0,0,0,0,0,0,0,0,4.655333,0,0,0,0,0,0,1.6180038,0.31434503,0,10.658701,0,0,0.17282231,0.23222265,1.145609,0,0,0,0,0,0,0,0,0,0.6631022,0,1.457421
21,1.3690932,0.09402787,0,0,0,0.3959698,0,0,1.3622339,0,0,0,0.34136373,0,0.42766798,0.814718,0,0.08427349,0,0,0,1.4291075,0,0,0,0,0,0,0,0,0,0,0.46971452,0,0,2.365261,0,1.4417127,0,0,0,0,0,0,0,0.21367086,0,0.90237194,0.64976627,2.3777087,0,0.17365754,1.2397448,0.08582313,0,0,2.3101141,0.39782184,1.6632566,1.2057325
22,0,0.12510972,0.57705975,2.7535982,0,0,0,0,0,0,1.4030267,0,0,0,0,1.5741525,0.24801803,3.9140074,0,0,0,0.4074926,0,0.05983849,0,2.2449436,0,0,0,0,0,0,0,0,1.8625146,2.3931582,3.2876806,2.7507222,0.6482468,0,0,0.23000947,1.0309875,0,0,0.4539485,0.14473478,0.97110337,0.19662175,0,0,2.66644,0,2.2847836,0.14892349,0,0,0,0,0
23,0,2.1493402,0,3.6083078,2.0232751,1.4417853,0,0,0,2.5316217,0.38637808,0,0,0,0,0,0,0.31037572,0,0.04384809,0,0,0.99201787,0,1.2606736,0,19.437193,0,0,2.3537722,0,0,1.6210355,2.9655478,5.12092,0,0.8923951,0,2.8416727,0,0.14007436,0,0,0.5118944,4.1642866,1.1305112,0,1.8038427,0,0,5.3431163,1.4833369,0,1.2305543,0,3.5735064,0,0,0,0.042296138
24,0,1.0029302,0,0.68558115,0,0.3842643,0.81828135,0,0,0,0,0.66116667,0,0,0,0,0,0,0,0,0,0,0,0,1.6055648,0,1.3573427,1.5389646,0,0.1193984,0,0,0,0,0,3.1063752,0.68737364,0.26455295,1.7331669,0,1.2605615,0.48800677,0,0.22682212,1.1142923,0,0.5580353,1.3095307,0,0.92010134,0,0.69291586,0,1.7885946,0,1.2014824,0,0.13318925,0.35368568,0
25,0,0,0,0,0,1.1274335,0,0,0,0,2.120058,0.25485733,0,0,0.73212594,0,1.9510958,0,0,0.18725362,0,0,0.9278432,0,2.669129,0,5.05237,0.25314623,0,0.33751583,2.4122415,0.00486694,0,0.85376763,2.2889194,0,2.025856,0.98270196,1.034951,0,0,0,6.386505,1.8632457,2.1549284,0.4371318,1.4882476,0.23385282,0.23712875,0.8285439,0,1.0805942,0,0.7894039,1.0924664,4.0605,2.1119113,2.4709327,0,0
26,0,0,0.6810588,0,0,0,0,3.4997091,0,2.0191915,0,0,0,0,0,0,3.8442852,1.5337,0.30806553,0,0.5071725,0,0.54607594,0,0.15888622,0.17218156,0,0.30240133,0.016207365,0,4.566406,0,0,0.5534568,0,0,5.4367175,0,0.6288558,0,0,0,0,0.36007965,0,0,0.03923044,1.470676,1.4322518,0.4055591,6.1427145,0,0.7965145,0,0.23505166,0,1.2049124,0,0.8211549,0
27,0,0,0.29132706,9.769137,0.39825377,1.2675045,0,0,0.6105192,0,0,2.8540206,0.23952848,0,0,0,0,0,0,0.14635012,1.2471503,1.4266409,1.232548,0,0,5.0066376,6.07206,2.6025283,0.9754821,1.119261,0,1.4983524,0,2.4790702,1.4073082,3.8356662,0,0,0,0,0,0,0.006180927,0.012178574,0.65932256,0,0.62642163,0.6964634,0,0,0,0,0,0,0,2.805116,0.2593235,0.5456543,0,0
28,5.7087035,0,0,0,0,0,0,0,0,0.2845499,0.17297897,0,0.58739644,0,0,1.8473608,2.1692414,0,0,0,0.94601893,0.22730134,0,0,0.9324675,0,0,0,0,0,0,2.2119107,0,0,1.6472231,0,0,0,0,0,0,0,8.92296,0,0,0,0,0,0,0,7.577524,5.035266,3.8306243,2.5490057,0.51581097,0,0,2.6067202,1.2980441,0
29,0,0,0.5580567,0,0,0.45577112,2.0159729,0,0,0,0.40323216,0,0,4.6896696,0,0,2.7635317,0.35943395,0,0,0,2.7880802,1.2071028,2.3338854,0,0,0,0,0,0,4.650472,0,1.0782411,0,6.366407,0,1.8418485,0,0,0,0.3756116,1.2138265,0.9620119,0,0,1.1648767,0.17997427,0.13349,1.4293168,0,0,0.2571691,0,0.40974617,0,0,0,0.13709468,0,0
30,0,1.6771,0,0,0,0,0.62285525,0.011228487,1.0453593,1.3641374,0,0,1.283672,1.3295219,0,0,0,0,1.4272519,2.0603771,2.3859696,0,0,0,0.65085447,0,0,0,0,0,0,0.21298753,0,0,0,2.392966,0,0.191784,0,0,1.3838055,0.24585845,0,0,0,0.9319285,1.2364118,0,0.6583494,0,0,0,0.96538335,0,0,1.3550348,0,0,0,0.19552003
31,0.9386207,0.6209576,0,0,0,1.2011477,0,0,0,0.42372692,2.041473,0,1.623699,0,1.1583034,0.28285763,0,3.4516811,0.2769734,3.7989936,0,0,1.0717473,0.026780408,0,0,0,0,0,1.6298214,7.899149,0,0,0,0,1.8764141,4.6520205,0,0.44297555,2.2104886,0.30237755,0,5.2220855,0,0,0.30760804,0.708513,0,0,0,0,0,0,0,0,1.0355082,0,0,0,0.3230256
32,0,0,2.1031885,0,0,2.3082545,0,0,0,0,0,0,0,0,0,1.9052409,0,2.2512672,2.446107,0,0,0,0,1.2964292,0,5.1220174,0,0,1.2868571,0,2.8219106,3.098414,10.836533,0,0.44994843,0.17553882,0,0,0,2.7950816,0.38806272,1.4737393,0,0.10031121,0,0,0,0.22482803,0.14829415,0,0,0,0.98190373,0,0.34642482,0,2.1360054,0,0,1.147607
33,0,0,0,0,0,0,0,0,0.001575723,0,0,0.4282851,0,0.14039163,0,1.4459604,1.9536985,0,0.15296248,0,0,0,0.010874464,0,0,0,1.4682559,0,0,0,1.3319918,0.18258967,0.73723215,0,0.36086753,0,0,0,0,0.024179047,0,0,0,0,2.0888965,0,0,0,2.6362352,0,0,3.9306238,0.5881472,1.5419248,0,0,0.59509647,1.6218439,0,0
34,0,0,0,0,1.0523907,0,0,0,0.80729014,0.044204243,0,0.75526613,0,0,0,0,0.3191079,0.36428034,0.4630205,0.70393145,2.0234673,0,0,0,1.2206497,0,5.117652,1.0301269,0,0,0,0.83746034,0,1.6408906,0,0,0,0,2.6081975,0,0,0,0,2.348006,0,0,0.19228444,0,0,0,2.0602493,8.024184,0,1.7027088,0,1.9086318,0,0,2.5613306,0
35,0,1.0083277,0,1.204021,4.1128983,1.3615469,0,0.5633962,0,0,0,0,0,0,0.7719467,0.58634454,0,0,0,0,0,0,0.3738765,0.51900184,0,0,7.8779182,0,0,3.2800674,0,0.99684995,0,0,0,0,6.9726734,2.100269,0,0.7475375,1.549178,0,5.650185,0.16863641,1.9566325,0,2.523565,0.32654738,0,0,0,0.9205718,0.2545986,0.2850124,0,0,0.22808576,0,0,1.2243949
36,0,0,0,0,0.316249,2.50168,0,3.5128355,0.18231675,0,1.3790561,0.7538879,0.73341334,0,0,1.8590627,0,0,0,0,0,0,0,0,3.3769379,1.0471362,1.3222034,0,0.2297825,0,0,1.3635117,0,0,0,0,2.0899522,0,0,1.2079773,0.06500406,0.62672335,1.0694048,1.512608,3.5327995,0,0.4896833,1.8844321,0,0,0.0302175,0,0,0.57859474,0,1.9813784,0,0,0.59442025,1.1222508
37,0,2.457011,1.3155718,0,0,0.15678379,0,0,0.5690627,0.16697617,1.3956051,0.4396575,0,0,0.10827758,0.07312977,0,0,1.6224948,0,0.55021405,0,0,0.17583142,0,0,0,0.9228491,1.4116122,0,5.0145807,0,9.076666,1.8601825,0,0,9.962885,0,2.3087287,0,0,0,0,0,2.6012704,0,0.044037312,1.1648526,0,0,2.4523468,0,0.22692561,0,0.043451946,0,0.23082034,0,1.3015584,0
38,2.3612537,0,2.6956596,0,0.959244,0,3.049455,0.70051044,0,0.9677884,0,0,1.75467,1.6450443,1.6724261,2.4298244,0,0,0,0,0.5367971,1.037988,0,0,0,0,0,0,0,0,0,3.4750068,0,0,2.3750677,0.22675328,0,0,0,0.6390064,0.3103805,0.47841588,9.107093,0,0,0,0,0,0,1.2608839,4.1759267,0,0.62035507,0,0,0,0,0,0,0.7061712
39,0,0,0,6.104009,0,0.444288,0.15825416,2.173112,0.17680866,0.5805665,0,0,0,0.29861847,0,0,0,0,0,0.9647951,0,0.9463708,0.65962476,1.0324199,0,0,0,0.8042982,0.14811756,4.527506,1.3526654,0,0,0.9005547,0,3.3564746,0,0.18416187,0,0,0,0,0,0.8085627,0,1.6483037,0,2.1640198,0,0,0,0,0,1.1032149,0.2581496,0,1.4042071,0,0,0
40,0,0.30180547,0,5.394964,0,0,0,1.0757804,0,0.55338925,0,0.2597454,0,0.9526398,0,1.2802478,0,0,0,1.6697564,0,1.0013587,1.4444091,0,0.5542768,0,0,0.001708358,0,0,2.2582037,0.24635118,1.8447003,0,4.16494,0,2.9566195,0.21038169,0,0,0,0.31410614,0,0,0,0.15476656,0,0.0627891,0,0,4.4679737,0,0.6488118,0,1.6442322,1.7514149,2.0048776,0.60264343,0,0
41,0.9115128,1.7081519,0,0,0,0,0,0,0,0,0,2.036601,0,0.011690664,0.5040905,1.0284152,0,0,0,0.5044085,0,0,0,0,0.7281564,1.7445135,0,1.1956681,0.13360061,4.1277204,0,0,0,1.7719014,0,0.5000765,3.2008893,2.1425374,0,0,1.577651,0,0,2.3340044,0,0,0,1.1143903,0,0,5.164012,0,0,0,0,0.2218467,0,1.1020904,0,0
42,0,0.822036,0.006955976,0,0,1.4587868,0,0,0,0.022148063,2.13786,0,0.32400244,0,0.18870966,1.1271855,0,1.8666501,0,0.6014332,0,0,0,0,0.48286074,0,0,0,3.0608423,0,0,0.48674646,0.83675784,0,0,4.1563907,0.88588023,0,1.7531098,0,0,0,0,0,0,0,0,0,0,0,0,3.3343418,3.0283365,0,1.5030353,0.89753014,0.37426046,0,1.0471942,0.008760494
43,0,0,0,0,0,0,1.2595396,0,0.09788139,0.49357978,0,0.047731075,0,1.270704,0,0,0,0,0.9415165,0,0,0,0,0,1.1558303,0.6280562,3.0109332,0,0,0,0,0.16157147,0,2.6124349,0,0,0,1.7390654,0.088555805,0,0,0,2.6147578,2.619831,0,0,1.2929158,0.8108463,0,0,0,0,0,0.65462714,1.0047361,0,0,0,0,0.6800333
44,0,0,0.7848378,0,1.9076205,0.047918703,0,0,0.81010544,0,2.625271,0,0,0,0,0,0,0,0,0,0,1.1572305,0,0,0.3545599,4.3026323,7.8276815,0,0,0,0,1.2711399,0,1.0834973,0,1.9920155,3.7420802,0,0.22750922,0,0,0.43331644,5.968541,0,0,0,0.026211323,0,0.033646412,0,0,0,0,0,0,0,0.539137,1.1059747,1.4157666,0
45,0,0,0,3.6748836,0.5248284,0,0,2.275698,0,2.2796402,0.53405446,0.9668411,1.1504828,0,0,0.7380339,0,1.763409,0,0,0.9447555,0,0,0,0.7970232,0,5.359223,0,0,0,0,0,3.2966723,0,0,0,0,0,0.100189544,0.33031166,0.04586535,0,0,0.35785517,0,1.3243524,0,0,1.1523405,0,0,2.008605,2.0051208,1.8616911,0,2.7582612,0,0,0,0
46,1.1420178,0.22263663,0.18532017,0,0,0,0,0.3496003,0,0,0,0,0,1.2838136,1.5238694,2.5699627,0.98658764,0,0,0.88347304,1.426881,0.2997268,1.9974592,1.2562778,0.2218629,0,13.19881,0.6201408,0,1.0273068,2.3908458,0.2940857,0.27613285,0,3.4360406,0.5104815,0,0,0,1.4844688,0,0.67971605,0,0,3.1687596,0,0,0,0,0,2.0273976,0,0,0,0,0,0,2.6144803,0,0
47,0.102086805,0,0.47132745,2.403986,0,0,2.8811364,0,0,1.1137019,0,0,0.7778341,1.0075947,0,0,2.9062607,0,0,0,1.7763189,1.1688787,0,0.21277829,0,0.63812447,0,0,0,0,0,2.0368338,0,0,4.273694,0,0,0,0,0,0.6048705,0.67862755,3.1652398,0,5.130593,0.23991543,0,0,0,4.317383,0,0,0,0,0,0,0,0,0,0
48,2.4680402,0,0.3796778,0,0,0.7208726,0,0,0.39007628,0,1.2215394,0,1.0264117,0,0,1.6730036,0.4406293,0,0,0,0,0,0,0,0,0,0,0.4208496,0,0,0,0,1.511257,0,6.6467733,0,0,0,0,0,2.2212787,0.541199,2.1280868,0,0,0,0,0,2.1527581,0,0,0,0.17262731,0,0,6.502154,2.813213,0,0.7565636,0.48348817
49,0,0,0,0,0,1.8365718,0,0,0,1.8157874,0,0,0,0,0.80013824,0.5062605,0,0.22716047,1.1620041,0.62432015,0,0,0.62568086,0,0.32757628,0,0,0,0.90812165,0.005809375,9.408046,0,4.9455814,0,0,0.7750906,0,0,0,1.3202589,0,0,0,2.1026394,1.9541762,0.79582036,1.1012431,0.18714792,0.18762152,0,0,3.5822306,0,0,0,0,0,0.81525934,0,0
50,0.22764753,0,0,3.8220608,0,0,0,0,0,0,0.20293856,0,0.6827946,0,0,0,0.44848225,1.6716675,1.2529718,0,1.2383109,0,0.5276965,0,0,0,0,0,0.4447931,0,0,0.51727784,2.060285,0,2.7895167,0,1.6673883,1.1732259,1.8624487,0,1.2032909,2.3782876,0,0,0,0.7347388,0.10543128,0,2.557084,2.029981,0,0,0,0.07872247,0.062037755,0,0.10670062,0.36796725,0,0
51,0,0,2.8056989,0,0.7705025,1.0731523,1.0366697,0,2.103278,0,0,0,0.25603867,0.58574086,0,0,0,2.1697052,0,0,0.18542324,1.2744203,0,3.9714482,1.5658331,2.1323678,0,0.44235507,1.4072325,0,6.8957696,2.041591,0,0.4322149,0,3.8890855,0,1.3131047,0,0,0.3656154,0,4.4483,1.6620324,2.124864,0,0,0,0,1.1514893,0,0,0.89814734,0,0,0,0,1.3588051,0,1.5543358
52,1.191263,0,0,0,0,0.15270786,1.3624055,0,0,0.038207315,0,0.9905225,0.13172607,0,2.1071353,0,1.7554624,0,0,0,0,1.5943388,0.018722862,0,0,0,0.030563315,0,0,0,0.878582,0,3.523777,0,1.9349456,0.2056386,0,0,0,1.2769988,0.67200863,0,8.202378,0.11243531,3.957197,0.013632223,1.5046345,0,1.2980512,0,0,3.3260396,0,0,1.4887433,0,3.2702193,0,1.2968831,0
53,0,2.4950693,0,0.6698418,1.2598091,0,0,1.5583858,0,1.1381488,0,0,0,0.2937636,0.5821017,0,0,0,1.0126759,0,0,0.47425693,0.88048077,0.7051723,0.0606994,0,7.795799,0,0,1.5377889,0,0.96418744,6.7915053,0.57625264,0,0.6607662,0,0,0,1.1685507,0,0,2.181587,0,1.5518491,0,0.3475188,0,0,0,0,2.243849,0,0,0.61559814,0,0,0,0.23146531,1.4803772
54,3.1824565,0,0,0,0,0.7750157,0.46467206,0,2.166032,0,0,0.9226337,0.8405368,0,0,0,0,0.5627387,0,0,0,0.51203996,0,0,0.6716385,3.7287722,0,0,0,1.4277141,7.6875567,0,0,1.2532424,0,0,0,0,0.9569786,0,0,0,5.757127,0,0,0,0,0.5605328,0,0,1.4495318,1.6560035,1.8952982,0.2803091,0.4346952,0,0,0,0,0
55,0,0,4.0916753,0,0,0,0,0,0.34500644,0,0.80568093,0,0,0,1.7622037,1.0013161,0,0.67435664,0,0,0,0,0,0,2.7764914,0,0,0.043795217,0,0,0,0,0,0.002138482,0,0.2453701,5.784862,0.2300557,1.58062,0,0.1905114,0.4830048,0,0,0,0,1.4246117,0,0,0,3.0355933,0,0,0,3.2899587,0,0,0.7880815,0.9118788,0
56,1.2285056,0,0,0,2.7079675,0,1.0318145,0,0,0,0,0,0,0,0,0,0,0,0.26283333,0,0,0,0.55025005,0,0.023185877,0,0,1.8740813,0,0,0,0,10.389699,1.3671057,0,0.65930176,0,0,0.2706166,0,0,0,0,0,0,0,0.123873845,2.704848,0,0,0,1.0929005,0,3.2459946,0,0.7916312,0.8381572,0,0.1531585,0
57,0,0,0,3.745727,2.3387063,0,0,0,0.47839466,0,0.21932162,0,0,0.28385174,0,0,0.9141645,0,1.8287394,0.13984807,0,0,0,0,0,0,5.115977,0,0,0,0,0,0,1.762771,0,0.4103714,0,1.5543889,1.235847,0,0.3085512,0,0,0,2.2089548,0,0,0.70070213,0,0,2.6650207,0,0,0,0,0,0,0,0,0.6117523
58,1.6244229,0,0.17158727,12.019708,0,0,0.8116512,0,0,0,1.4868317,0.7714558,0,0.37827846,0.40213594,0,0,0,0,0,0.9420515,0,0,2.2665775,0,0,0,0,0,0,3.2570448,0,0,0,0,4.2187567,0,0,0,0.17108765,0,0,4.599935,0,0,1.0817764,0,0.16582604,0,0.23312068,4.3670807,2.6766303,0,0,1.0172766,0,0,0.28090915,0.09699761,0.49475303
59,0.25796255,0,0,0,0.76677793,0,0,0,0.5231186,0,0.84986275,0,0,0,1.4074719,0.17636347,0.3457815,3.8076448,0,0.50254714,1.0973269,1.4813349,1.2176477,0,0,0,3.2067742,0.07777425,0,1.1051738,0,0,0,0.09598419,5.515087,0,0,0.14758585,0,0,0,0,0,0,0.06775711,1.305092,0.6510628,0,0.22503975,0,0,0,1.0940853,0,0.5275192,0,0,0,0,1.726387
60,3.6237175,0,0,0,0,0.29972574,0.4706447,0,0.75871366,1.0269724,0,0,0,0,0.39692038,0,0,0,0,1.3799464,0,0,0,0,0,0,0,0,0.72549915,0,0,1.182264,0.91444206,0,0.5408149,0,5.0411606,0,0,0.9116363,0,2.0516965,0,0.6678894,0,0,0,0,1.372778,0.9181617,0,0,0,0,0,0,0.5018294,1.6138505,0.64313453,0
61,1.7231705,1.1492995,0,2.4997098,0,0,0.043064896,0,0.072474696,0.26040244,0,0,0,0,1.1895506,0,0,0.14702395,0.2259007,0.9698984,0,0,0,0,0,1.7970845,0,0,0,0,12.659774,0,0,0.8696786,2.2808852,0,0,1.576655,0.827495,0,0,0,0,2.014774,2.7126489,0.12103313,0,0,1.2386608,0,0,0,0,0,0,0,0,0.9293552,1.3305645,1.470762
62,0,0,0.25946695,4.1412816,1.2326303,0,0.84992826,0.18312518,0.7360286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3397589,0,5.4700665,0,0,0.4012595,0,0,8.949455,1.1749164,0,0,3.6180003,0.3612885,0,0,0,0.73922414,0,0.7488576,0,0.7052931,0.0904208,0.72913265,0.16767135,0,0,0.2538062,0,0,0,7.7269316,0,0,0.17209964,0
63,0.76797915,5.237382,0,6.0427265,0,0,0,0,1.1220511,0.7525527,0,0,0,1.4460093,1.5153013,0,0.5839331,0,0,0,0,0,1.4079446,0,0.9323188,0,0,0.32573533,2.8232315,0,0,0.7832923,0,0.9460075,1.5320464,0,3.400187,0,1.8750046,0.9348164,0.45506343,0.06697658,6.73275,0,0,0,0,0,0.63828176,1.665819,0,0,0,0,0.56228834,2.8325171,1.444076,0,0,0.36760378
